Body 120: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.002, Fz =  0.000
Body 121: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz =  0.001
Body 122: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz =  0.003
Body 123: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.002, Fz =  0.001
Body 124: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz =  0.002
Body 125: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.001
Body 126: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.001
Body 127: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.001
Body 128: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz = -0.000
Body 129: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz =  0.003
Body 130: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.000, Fz = -0.002
Body 131: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.003, Fz = -0.001
Body 132: x = ******, y = ******, z = 72.576, Fx = -0.001, Fy = -0.002, Fz =  0.000
Body 133: x = ******, y = ******, z = -6.564, Fx = -0.002, Fy =  0.000, Fz =  0.000
Body 134: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.000, Fz =  0.002
Body 135: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz =  0.001
Body 136: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.002, Fz =  0.003
Body 137: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.000, Fz =  0.003
Body 138: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz = -0.002
Body 139: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.003, Fz =  0.001
Body 140: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz = -0.001
Body 141: x = ******, y = ******, z = ******, Fx =  0.003, Fy =  0.001, Fz =  0.000
Body 142: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.000, Fz = -0.001
Body 143: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz =  0.002
Body 144: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz =  0.001
Body 145: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.003, Fz =  0.001
Body 146: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.001
Body 147: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.000, Fz = -0.001
Body 148: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.002
Body 149: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.001, Fz =  0.002
Body 150: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.002, Fz = -0.001
Body 151: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz = -0.000
Body 152: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.000
Body 153: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.001, Fz = -0.002
Body 154: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.001, Fz =  0.002
Body 155: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.000
Body 156: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.001, Fz = -0.000
Body 157: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.000, Fz =  0.001
Body 158: x = ******, y = ******, z = ******, Fx =  0.993, Fy =  0.567, Fz = -2.948
Body 159: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.003, Fz = -0.000
Body 160: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.000, Fz =  0.000
Body 161: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz = -0.003
Body 162: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.002
Body 163: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz = -0.002
Body 164: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.000
Body 165: x = ******, y = 73.293, z = ******, Fx = -0.003, Fy = -0.000, Fz =  0.000
Body 166: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.000, Fz = -0.001
Body 167: x = ******, y = ******, z = ******, Fx =  0.003, Fy =  0.003, Fz =  0.001
Body 168: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.001, Fz = -0.003
Body 169: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz =  0.003
Body 170: x = 33.914, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.002
Body 171: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.004, Fz = -0.001
Body 172: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.000, Fz =  0.003
Body 173: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.003, Fz = -0.001
Body 174: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.000, Fz =  0.000
Body 175: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.003, Fz = -0.000
Body 176: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.000
Body 177: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.000, Fz =  0.002
Body 178: x = ******, y = ******, z = ******, Fx =  0.001, Fy =  0.001, Fz =  0.000
Body 179: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.001, Fz =  0.001
Body 180: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz = -0.002
Body 181: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.001
Body 182: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.001
Body 183: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.002, Fz =  0.000
Body 184: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz = -0.002
Body 185: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.001, Fz = -0.002
Body 186: x = 43.919, y = ******, z = 45.204, Fx = -0.000, Fy = -0.002, Fz = -0.000
Body 187: x = ******, y =  7.027, z = ******, Fx = -0.002, Fy =  0.000, Fz =  0.001
Body 188: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.003, Fz = -0.000
Body 189: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.001
Body 190: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.002, Fz =  0.001
Body 191: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.003, Fz =  0.000
Body 192: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.000, Fz = -0.003
Body 193: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.000, Fz = -0.000
Body 194: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.003, Fz = -0.002
Body 195: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.000, Fz =  0.000
Body 196: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.003, Fz =  0.002
Body 197: x = ******, y = ******, z = ******, Fx = -0.003, Fy = -0.001, Fz =  0.000
Body 198: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.003, Fz =  0.002
Body 199: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.003, Fz =  0.001
Body 200: x = ******, y = ******, z = 98.645, Fx =  0.001, Fy = -0.001, Fz = -0.000
Body 201: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.002, Fz = -0.003
Body 202: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.003, Fz = -0.002
Body 203: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.001
Body 204: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.002, Fz = -0.001
Body 205: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.002, Fz = -0.001
Body 206: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.001
Body 207: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.005, Fz = -0.000
Body 208: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.002, Fz = -0.001
Body 209: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.000, Fz =  0.002
Body 210: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.000, Fz = -0.003
Body 211: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.000, Fz = -0.001
Body 212: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.000, Fz = -0.003
Body 213: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.001, Fz =  0.001
Body 214: x = 39.067, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz = -0.002
Body 215: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.003, Fz =  0.000
Body 216: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.002, Fz =  0.001
Body 217: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.000, Fz = -0.001
Body 218: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.000
Body 219: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz =  0.002
Body 220: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.000, Fz = -0.000
Body 221: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.002, Fz =  0.002
Body 222: x = ******, y = ******, z = ******, Fx = -0.003, Fy =  0.002, Fz = -0.000
Body 223: x = ******, y = ******, z = ******, Fx = -0.000, Fy =  0.002, Fz = -0.001
Body 224: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz = -0.001
Body 225: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.001, Fz =  0.001
Body 226: x = ******, y = ******, z = ******, Fx = -0.000, Fy = -0.001, Fz =  0.001
Body 227: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.000
Body 228: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.002, Fz =  0.000
Body 229: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.000, Fz = -0.000
Body 230: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz =  0.002
Body 231: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.001, Fz = -0.001
Body 232: x = ******, y = ******, z = ******, Fx =  0.003, Fy =  0.002, Fz = -0.000
Body 233: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.004, Fz =  0.001
Body 234: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.001, Fz = -0.003
Body 235: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.003, Fz =  0.001
Body 236: x = ******, y = ******, z = ******, Fx =  0.003, Fy = -0.000, Fz = -0.000
Body 237: x = ******, y = ******, z = ******, Fx =  0.001, Fy = -0.001, Fz =  0.003
Body 238: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.001, Fz = -0.003
Body 239: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.003, Fz =  0.001
Body 240: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.003, Fz = -0.002
Body 241: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.002, Fz = -0.002
Body 242: x = ******, y = ******, z = ******, Fx =  0.000, Fy =  0.002, Fz = -0.002
Body 243: x = ******, y = ******, z = ******, Fx =  0.002, Fy = -0.000, Fz = -0.002
Body 244: x = ******, y = ******, z = ******, Fx =  0.000, Fy = -0.001, Fz = -0.002
Body 245: x = ******, y = ******, z = ******, Fx = -0.002, Fy =  0.001, Fz =  0.002
Body 246: x = ******, y = ******, z = ******, Fx = -0.001, Fy = -0.003, Fz =  0.001
Body 247: x = ******, y = ******, z = ******, Fx =  0.002, Fy =  0.008, Fz =  0.002
Body 248: x = ******, y = ******, z = ******, Fx = -0.002, Fy = -0.001, Fz =  0.003
Body 249: x = ******, y = ******, z = ******, Fx = -0.001, Fy =  0.001, Fz = -0.001
